Pays,Region,Rank,Bonheur,A1,A2,A3,A4,A5,A6,A7,A8,Democratie,Population,Bellicisme,Alphabetisation,PIB,EsperanceDeVie,Liberalisme
Peru,Latin America and Caribbean,58,5.824,0.04615,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,6.6,32165490,2.029,0.896,13019,75.5,67.4
Belarus,Central and Eastern Europe,59,5.813,0.03938,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,3.13,9498260,2.173,0.9976,18066,72.3,50.1
Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,6.67,37974830,1.430,0.9937,27383,77.5,67.0
Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,6.88,31624260,1.561,0.925,27683,75.0,74.5
Croatia,Central and Eastern Europe,62,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,6.57,4124530,1.550,0.9896,23422,78.0,60.4
Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,2.19,6374620,2.819,0.7697,11193,72.7,60.3
Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,2.94,144496740,2.954,0.995,24789,70.5,51.9
Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,7.02,2890300,2.153,0.864,8822,76.2,66.7
Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,7.59,1179550,1.924,0.9791,32708,80.5,67.6
Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,3.5,41318140,2.131,0.89,15013,75.6,44.7
Turkmenistan,Central and Eastern Europe,70,5.548,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,1.72,5758070,2.138,0.995,16876,66.3,42.2
Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,8.22,1264610,1.503,0.879,21103,74.6,76.5
Hong Kong,Eastern Asia,72,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,6.15,7167403,1.657,0.946,58618,83.3,90.1
Estonia,Central and Eastern Europe,73,5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,7.97,1317380,1.677,0.9987,29743,77.6,75.9
Indonesia,Southeastern Asia,74,5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,6.29,263991380,1.768,0.92,11609,69.1,58.5
Vietnam,Southeastern Asia,75,5.36,0.03107,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,3.08,95540800,1.848,0.928,6296,76.0,50.8
Turkey,Middle East and Northern Africa,76,5.332,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,4.37,8074502,2.363,0.9578,25247,75.8,64.9
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.03823,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,5.11,6198200,2.249,0.9939,3552,71.1,61.1
Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,4.44,190886310,2.910,0.564,5861,54.5,54.3
Bhutan,Southern Asia,79,5.253,0.03225,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,5.3,807610,1.416,0.528,8901,69.8,56.7
Azerbaijan,Central and Eastern Europe,80,5.212,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,2.65,9854030,2.325,0.9959,6513,72.7,61.3
Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,4.17,197015950,3.049,0.582,5235,66.4,55.2
Jordan,Middle East and Northern Africa,82,5.192,0.04524,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,3.93,9702350,1.944,0.911,9048,74.1,69.2
Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,5.74,622370,1.854,0.987,17633,76.1,63.6
China,Eastern Asia,84,5.14,0.02424,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,3.32,1386395000,2.267,0.959,15529,76.1,52.5
Zambia,Sub-Saharan Africa,85,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,5.61,17094130,1.846,0.709,3933,61.8,60.4
Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,6.38,19583990,1.542,0.977,23027,75.0,65.5
Serbia,Central and Eastern Europe,87,5.123,0.04864,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,6.41,7020860,1.768,0.9788,14515,75.6,59.4
Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,7.84,10300300,1.344,0.949,30607,81.1,63.5
Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,7.38,1942250,1.695,0.9989,25587,74.6,68.7
Philippines,Southeastern Asia,90,5.073,0.04934,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,6.71,104918090,2.462,0.934,7804,68.5,60.1
Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,4.99,35739580,2.002,0.701,7857,74.3,58.3
Macedonia,Central and Eastern Europe,93,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,5.87,2083160,1.944,0.971,4942,75.7,68.6
Mozambique,Sub-Saharan Africa,94,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,3.85,29668830,1.976,0.551,1217,57.6,55.0
Albania,Central and Eastern Europe,95,4.959,0.05013,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,5.98,2873460,1.821,0.9919,11540,77.8,66.9
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,4.98,3507020,1.839,0.9789,12163,77.4,58.4
Lesotho,Sub-Saharan Africa,97,4.898,0.09438,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,6.64,2233340,1.891,0.897,2952,53.7,49.5
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,6.54,10767000,2.089,0.891,15505,73.9,61.3
Laos,Southeastern Asia,99,4.876,0.06698,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,2.37,7230665,1.700,0.666,6550,65.7,51.2
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,6.5,3075650,1.746,0.975,12252,68.8,58.9
Swaziland,Sub-Saharan Africa,101,4.867,0.08742,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,3.03,1159250,2.102,0.869,8330,58.9,61.2
Greece,Western Europe,102,4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,7.29,10753530,1.878,0.972,26779,81.0,55.7
Lebanon,Middle East and Northern Africa,103,4.839,0.04337,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,4.63,6082360,2.623,0.896,14309,74.9,59.4
Hungary,Central and Eastern Europe,104,4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,6.63,9787970,1.463,0.9947,26701,75.9,67.0
Honduras,Latin America and Caribbean,105,4.788,0.05648,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,5.63,9265070,2.210,0.836,4737,74.6,57.1
Tajikistan,Central and Eastern Europe,106,4.786,0.03198,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,1.93,8921340,2.152,0.9967,2979,69.7,52.0
Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,6.41,11532130,1.952,0.777,11596,75.3,57.3
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.04394,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,4.39,4682468,2.621,0.946,5081,73.3,60.0
Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,5.57,164669750,1.997,0.559,3580,71.8,54.1
Iran,Middle East and Northern Africa,110,4.686,0.04449,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,2.45,81162790,2.409,0.91,19949,75.5,40.3
Ukraine,Central and Eastern Europe,111,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,5.69,44831140,2.845,0.9973,8270,71.3,51.9
Iraq,Middle East and Northern Africa,112,4.677,0.05232,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,4.06,38274620,3.444,0.781,17349,68.9,61.0
South Africa,Sub-Saharan Africa,113,4.642,0.04585,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,7.24,56717160,2.376,0.88,13197,62.9,62.5
Ghana,Sub-Saharan Africa,114,4.633,0.04742,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,6.63,28833630,1.840,0.666,4292,62.4,64.2
Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,3.16,16529900,2.294,0.919,2027,60.7,35.5
Liberia,Sub-Saharan Africa,116,4.571,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,5.35,4731910,1.963,0.476,813,61.4,52.4
India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,7.23,1339180130,2.504,0.7404,6571,68.3,55.7
Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2.15,40533330,3.295,0.702,1925,64.1,49.4
Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,4.91,10981230,2.074,0.621,1784,63.5,48.9
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0368,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,1.49,81339990,2.196,0.881,802,59.8,52.2
Nepal,Southern Asia,121,4.514,0.03607,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,5.18,29305000,1.882,0.682,2478,69.2,50.1
Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,3.35,104957440,2.234,0.359,1734,64.8,50.0
Sierra Leone,Sub-Saharan Africa,123,4.507,0.07068,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,4.66,7557210,1.864,0.409,1476,50.1,50.5
Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,3.82,4420180,2.262,0.575,3853,63.1,53.2
Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,5.11,49699860,2.342,0.87,3155,63.4,54.7
